Group,Used_in,Attribute,Datatype,Default,Description,Status,Note
general,both,id,str,,Name or ID of building,optional,Not in use so far
,both,year,int,,"Year of construction, e.g. 1977",optional,Not in use so far
,both,levels,float,,Number of floor levels,optional,Not in use so far
,both,apartments,int,,Number of apartments,optional,Not in use so far
,both,ground_area,float,,Ground area (German: Grundfläche des Gebäudes (GF)) in m²,optional,Not in use so far
,both,gross_floor_area,float,,Total floor area (German: Brutto Grundfläche (BGF)) in m²,optional,Not in use so far
,both,net_floor_area,float,,Net floor area (German: NGF) in m²,optional,Not in use so far
,both,heat_load_space_heating,float,,Maximum/design heat load of space heating [kW],,Not in use so far
,both,heat_load_dhw,float,,Maximum/design heat load of domestic hot water [kW],,Not in use so far
,both,heat_load_total,float,,Total design heat load [kW],,Not in use so far
,both,heat_energy_space_heating,float,,Annual energy for space heating [kWh/a],,Not in use so far
,both,heat_energy_dhw,float,,Annual energy for domestic hot water [kWh/a],,Not in use so far
,both,heat_energy_total,float,,Annual energy for heating [kWh/a],,Not in use so far
heating,both,system_configuration,str,one_temp_level,"Defines the system setting: - ""one_temp_level"": For domestic hot water and space heating the same temperature level is assumed. - ""two_temp_level"": A different temperature level for DHW can be assumed",required,
,both,temp_heating_limit,float,15,Heizgrenztemperature [°C],required,
,both,temp_forward_limit,float,60,Forward temperature at temp_outside_limit [°C],required,
,both,temp_forward_winter,float,80,Forward temperature at -12°C outside [°C],required,
,both,temp_return,float,50,Average assumped return temperature [°C],required,
units,investment,gas-boiler.maximum,float,1000,Maximum capacity of gas boiler [kW],required,
,investment,micro-chp.maximum,float,100,Maximum capacity of CHP [kW],required,
,investment,pellet-boiler.maximum,float,100,Maximum capacity of pellet boiler [kW],required,
,investment,wood-boiler.maximum,float,100,Maximum capacity of wood-chips boiler [kW],required,
,investment,heatpump-geo.maximum,float,100,Maximum capacity of ground sourced heat pump [kW],required,
,investment,heatpump-air.maximum,float,100,Maximum capacity of air-sourced heat pump [kW],required,
,investment,substation.maximum,float,100,Maximum capacity of district heating substation [kW],required,
,investment,thermal-storage.maximum,float,2000,Maximum capacity of thermal storage [liter],required,
,investment,battery-storage.maximum,float,100,Maximum capacity of battery storage [kWh],required,
,operation,gas-boiler.installed,float,1000,Installed capacity of gas boiler [kW],required,
,operation,pellet-boiler.installed,float,0,Installed capacity of pellet boiler [kW],required,
,operation,wood-boiler.installed,float,0,Installed capacity of wood-chips boiler [kW],required,
,operation,heatpump-geo.installed,float,0,Installed capacity of ground sourced heat pump [kW],required,
,operation,heatpump-air.installed,float,0,Installed capacity of air-sourced heat pump [kW],required,
,operation,thermal-storage.installed,float,0,Installed capacity of thermal storage [liter],required,
,operation,battery-storage.installed,float,0,Installed capacity of battery storage [kWh],required,
roof,both,roof_1_azimuth,float,,Azimuth angle of roof 1 [°]. Azimuth definition: see pvlib,optional,
,both,roof_1_pitch,float,,Roof 1 pitch angle from the horizontal [°],optional,
,both,roof_1_area_total,float,,Total area of roof 1 [m²],optional,
,both,roof_1_area_usable,float,,Area usable for PV installation of roof 1 [m²],optional,
,both,roof_2_azimuth,float,,Azimuth angle of roof 2 [°]. Azimuth definition: see pvlib,optional,
,both,roof_2_pitch,float,,Roof 2 pitch angle from the horizontal [°],optional,
,both,roof_2_area_total,float,,Total area of roof 2 [m²],optional,
,both,roof_2_area_usable,float,,Area usable for PV installation of roof 2 [m²],optional,
,both,roof_3_azimuth,float,,Azimuth angle of roof 3 [°]. Azimuth definition: see pvlib,optional,
,both,roof_3_pitch,float,,Roof 3 pitch angle from the horizontal [°],optional,
,both,roof_3_area_total,float,,Total area of roof 3 [m²],optional,
,both,roof_3_area_usable,float,,Area usable for PV installation of roof 3 [m²],optional,
pv,operation,pv_1_installed,float,,Installed PV capacity [kW] on roof 1,optional,
,operation,pv_2_installed,float,,Installed PV capacity [kW] on roof 2,optional,
,operation,pv_3_installed,float,,Installed PV capacity [kW] on roof 3,optional,
,investment,pv_1_max,float,,Maximum PV capacity [kW] on roof 1,optional,
,investment,pv_2_max,float,,Maximum PV capacity [kW] on roof 2,optional,
,investment,pv_3_max,float,,Maximum PV capacity [kW] on roof 3,optional,
solarthermal,investment,st_1_max,float,,Maximum Solarthermal capacity relativ to the usable roof area of roof 1 [-] (values from 0 to 1),optional,
,investment,st_2_max,float,,Maximum Solarthermal capacity relativ to the usable roof area of roof 2 [-] (values from 0 to 1),optional,
,investment,st_3_max,float,,Maximum Solarthermal capacity relativ to the usable roof area of roof 3 [-] (values from 0 to 1),optional,
